name,neighborhood,region,address,rating,review_count,price_level,overall_vibe,good_for_dates,instagrammable,seating_capacity,open_weekends,open_after_5pm,hours_mon,website,place_id
SusieCakes - Brentwood,Brentwood,West LA,"11708 San Vicente Blvd, Los Angeles, CA 90049, USA",4.5,151,PRICE_LEVEL_MODERATE,"bakery counter experience, celebration-focused, instagrammable desserts",False,False,small (<15),True,True,10:00 AM – 7:00 PM,https://susiecakes.com/locations/brentwood,ChIJMWmGgKC8woAR0aA549-GlN4
Malou Coffee,Brentwood,West LA,"912 S Barrington Ave, Los Angeles, CA 90049, USA",4.4,141,,"japanese matcha focused, vibrant and cozy, dog-friendly community vibes",False,True,medium (15-40),True,True,6:30 AM – 6:00 PM,https://www.maloucoffee.com/,ChIJPbTEUgC7woAR9Q8-X_h4D44
Caffe Luxxe,Brentwood,West LA,"11640 San Vicente Blvd #101, Los Angeles, CA 90049, USA",4.4,193,,"artisanal european coffee focus, premium neighborhood spot, upscale quality-first",False,True,large (40+),True,True,6:30 AM – 5:00 PM,https://www.caffeluxxe.com/,ChIJ83Ob_V-7woARyB2vkPZjBEc
Winston Pies,Brentwood,West LA,"11678 San Vicente Blvd, Los Angeles, CA 90049, USA",4.4,173,PRICE_LEVEL_MODERATE,"artisan pie bakery, community gathering spot, quality-focused",False,True,medium (15-40),True,True,Closed,http://www.winstonpies.com/,ChIJ3ZVZdaC8woARKOlC-VP_NBk
PopUp Bagels,Brentwood,West LA,"11710 San Vicente Blvd, Los Angeles, CA 90049, USA",4.4,53,,"nyc bagel shop, fresh daily bagels, dip-and-schmear concept",False,True,small (<15),True,False,6:00 AM – 4:00 PM,https://www.popupbagels.com/,ChIJsxl2EcW9woAR_fayUUtU1Zg
Coral Tree Cafe,Brentwood,West LA,"11645 San Vicente Blvd, Los Angeles, CA 90049, USA",4.3,1023,PRICE_LEVEL_MODERATE,"celebrity hotspot, upscale brunch energy, coffee shop vibes",False,False,medium (15-40),True,True,7:30 AM – 9:00 PM,http://coraltreecafe.com/?y_source=1_ODIwOTg5NDUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,ChIJAxCHD6C8woARyGTn5MorDgM
La La Land,Brentwood,West LA,"11698 San Vicente Blvd, Los Angeles, CA 90049, USA",4.3,72,,"bright yellow aesthetic, busy chain energy, sunshine-filled",False,False,medium (15-40),True,True,6:30 AM – 7:00 PM,https://lalalandcafe.com/pages/brentwood,ChIJO7smAAC9woARk24cTKwxK3I
Ting’s Sweet Confections 暖禾糕点,Brentwood,West LA,"11712 Darlington Ave, Los Angeles, CA 90049, USA",3,2,,,False,False,small (<15),False,False,,https://tingssweetconfiction.square.site/,ChIJHbs_5FK7woARLBiqoGaH8wA
"The Conservatory for Coffee, Tea & Cocoa",Culver City,West LA,"10117 Washington Blvd, Culver City, CA 90232, USA",4.8,720,PRICE_LEVEL_INEXPENSIVE,"specialty coffee roastery, cozy living room feel, local artists & vinyl culture",False,False,medium (15-40),False,False,8:00 AM – 2:00 PM,https://conservatorycoffeeandtea.com/?shpxid=09663ebf-31d3-4189-8500-2d63e07ccc6b,ChIJIT-KMC-6woARiA7LLbQRvOY
esme,Culver City,West LA,"3837 Main St, Culver City, CA 90232, USA",4.7,154,,"intimate mediterranean, persian-influenced, high-end casual dining",False,False,medium (15-40),True,True,Closed,http://www.esme-la.com/,ChIJt-kxTKq7woAR01uWSUcIe9s
Cafe Vida,Culver City,West LA,"9755 Culver Blvd, Culver City, CA 90232, USA",4.6,1311,PRICE_LEVEL_MODERATE,"vibrant brunch spot, family-oriented staff energy, casual weekend destination",False,False,medium (15-40),True,True,8:00 AM – 3:00 PM,https://cafevida.net/?y_source=1_MTY5MTI3NjEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,ChIJyVlW-ii6woARqQ0-QpeiQ9M
Metro Cafe,Culver City,West LA,"11188 Washington Pl, Culver City, CA 90232, USA",4.6,1192,PRICE_LEVEL_MODERATE,"cozy breakfast spot, welcoming atmosphere, french toast destination",False,False,medium (15-40),True,True,7:00 AM – 3:00 PM,http://metrocafela.com/,ChIJ422pIT-6woARwDVX8i5qYyQ
MillCross Coffee / La Sabina Wine Bar,Culver City,West LA,"11050 Washington Blvd, Culver City, CA 90232, USA",4.6,578,PRICE_LEVEL_MODERATE,"dog-friendly patio, wine bar vibe, house-roasted specialty coffee",False,False,medium (15-40),True,True,7:00 AM – 6:00 PM,http://millcrosscoffee.com/,ChIJ61o0Yme7woARtxJz_cdk3x8
The Spot Cafe & Lounge,Culver City,West LA,"4455 Overland Ave, Culver City, CA 90230, USA",4.6,197,PRICE_LEVEL_INEXPENSIVE,"beach-town charm, friendly neighborhood vibe, relaxed lounge atmosphere",False,False,medium (15-40),True,True,7:00 AM – 5:00 PM,,ChIJDRoA-iG6woARs_8PoAHspmk
Breakaway Cafe,Culver City,West LA,"8686 Washington Blvd, Culver City, CA 90232, USA",4.5,191,PRICE_LEVEL_MODERATE,"breakfast-focused Mediterranean food, relaxed unfussy vibe, friendly attentive service",False,True,medium (15-40),True,False,8:00 AM – 3:00 PM,http://www.breakawaycafela.com/,ChIJgwGGBOe5woAR7H7AIjxyxJo
Cognoscenti Coffee,Culver City,West LA,"6114 Washington Blvd, Culver City, CA 90232, USA",4.5,407,PRICE_LEVEL_INEXPENSIVE,"neighborhood gem, relaxed, specialty single-origin coffee",False,True,medium (15-40),True,False,7:00 AM – 4:00 PM,http://www.cogcoffee.com/,ChIJhxIlWpy5woARe6w1IL9WMrs
Tanner's Coffee Co.,Culver City,West LA,"Tanner's Coffee Co, 4342 Sepulveda Blvd, Culver City, CA 90230, USA",4.5,554,PRICE_LEVEL_INEXPENSIVE,"chess community, chill low-key, neighborhood spot",False,False,medium (15-40),True,True,7:00 AM – 5:00 PM,,ChIJG4tFWBa6woARIRW1qb9BIN8
Destroyer,Culver City,West LA,"3578 Hayden Ave, Culver City, CA 90232, USA",4.4,1402,PRICE_LEVEL_MODERATE,"michelin-quality brunch, modern minimalist, inventive creative dishes",True,True,medium (15-40),True,False,8:00 AM – 3:00 PM,http://destroyer.la/,ChIJv4oUtZq5woARx5Em5PykPOY
Go Get Em Tiger,Culver City,West LA,"10000 Washington Blvd #103, Culver City, CA 90232, USA",4.3,203,PRICE_LEVEL_MODERATE,"brunch-focused, contemporary, welcoming",False,False,medium (15-40),True,True,6:00 AM – 5:00 PM,https://www.gget.com/,ChIJ-_WVism7woARtFM-6MzTdPA
Super Domestic Coffee,Culver City,West LA,"10054 Culver Blvd, Culver City, CA 90232, USA",4.2,307,,"cyclist-inspired concept, minimalist quirky, dog-friendly",False,True,small (<15),True,True,7:00 AM – 5:00 PM,http://superdomestic.coffee/,ChIJX58dQKu7woARO-ld1WCoCJM
